Citation,Type,Primary/Secondary,Full reference*,"* references cited in primary, complete HerbiTraits dataset are not included here."
Harveson 2006 Pronghorn Symposium,Conference talk,Secondary,"Harveson, L. A. 2006. Life history and ecology of pronghorn. Page 1 in Pronghorn Symposium.",
Henley et al. 2007 Journal of Arid Environments,Peer-reviewed,Primary,"Henley, S. R., D. Ward, and I. Schmidt. 2007. Habitat selection by two desert-adapted ungulates. Journal of Arid Environments 70:39-48.",
Longshore et al. 2009 Journal of Arid Environments,Peer-reviewed,Primary,"Longshore, K. M., C. Lowrey, and D. B. Thompson. 2009. Compensating for diminishing natural water: Predicting the impacts of water development on summer habitat of desert bighorn sheep. Journal of Arid Environments 73:280-286.",
Hervert and Krausman 1986 The Journal of Wildlife Management,Peer-reviewed,Primary,"Hervert, J. J., and P. R. Krausman. 1986. Desert mule deer use of water developments in Arizona. The Journal of Wildlife Management:670-676.",
Hampson et al. 2010 Equine Veternary Journal,Peer-reviewed,Primary,"Hampson, B., M. A. de Laat, P. Mills, and C. Pollitt. 2010. Distances travelled by feral horses in ‘outback’ Australia. Equine Veterinary Journal 42:582-586.",
Payne et al. 2020 Scientific Reports,Peer-reviewed,Primary,"Payne, J. C., B. Buuveibaatar, D. E. Bowler, K. A. Olson, C. Walzer, and P. Kaczensky. 2020. Hidden treasure of the Gobi: understanding how water limits range use of khulan in the Mongolian Gobi. Scientific Reports 10:1-13.",
Dunkin et al. 2013 The Journal of Experimental Biology,Peer-reviewed,Primary,"Dunkin, R. C., D. Wilson, N. Way, K. Johnson, and T. M. Williams. 2013. Climate influences thermal balance and water use in African and Asian elephants: physiology can predict drivers of elephant distribution. Journal of Experimental Biology 216:2939-2952.",
Tluczek 2012 Thesis,Thesis,Primary,"Tluczek, M. 2012. Diet, nutrients, and free water requirements of pronghorn antelope on Perry Mesa, Arizona. Arizona State University.",
Krausman 1996 Desert bighorn sheep and water: a bibliography,Grey,Secondary,"Krausman, P. R. 1996. Desert bighorn sheep and water: a bibliography. US Geological Survey, Cooperative Park Studies Unit, School of Renewable Natural Resources, University of Arizona",
Morgart et al. 2005 Wildlife Society Bulletin,Peer-reviewed,Primary,"Morgart, J. R., J. J. Hervert, P. R. Krausman, J. L. Bright, and R. S. Henry. 2005. Sonoran pronghorn use of anthropogenic and natural water sources. Wildlife Society Bulletin 33:51-60.",
Pujos et al. 2012 Journal of Mammalian Evolution,Peer-reviewed,Primary,"1 Pujos, F., Gaudin, T. J., De Iuliis, G. and Cartelle, C. 2012. Recent advances on variability, morpho-functional Adaptations, dental terminology, and evolution of sloths. J. Mamm. Evol. 19, 159-169.",
Souron et al. 2015 Acta Palaeontologica Polonica,Peer-reviewed,Primary,"Souron, A., Boisserie, J.-R. and White, T. D. 2015. A new species of the suid genus Kolpochoerus from Ethiopia. Acta Palaeontologica Polonica 60, 79-96.",
Doody et al. 2007 Ethology,Peer-reviewed,Primary,"Doody, J. S., R.A. Sims, and M. Letnic. 2007. Environmental Manipulation to Avoid a Unique Predator: Drinking Hole Excavation in the Agile Wallaby, Macropus agilis. Ethology 113, 128-136, doi:10.1111/j.1439-0310.2006.01298.x.",
Tardiff and Stanford 1998 Ecology,Peer-reviewed,Primary,"Tardiff, S.E. and J.A. Stanford. 1998. Grizzly bear digging: effects on subalpine meadow plants in relation to mineral nitrogen availability. Ecology 79(7):2219-2228.",
Hatley and Kappelman 1980 Human Ecology,Peer-reviewed,Secondary,"Hatley, T. and J. Kappelman,. 1980. Bears, pigs, and Plio-Pleistocene hominids: a case for the exploitation of belowground food resources. Hum. Ecol. 8, 371-387 ",
Hamilton et al. 1977 Madoqua,Peer-reviewed,Primary,"Hamilton, W. J., III, R. Buskirk, and W. H. Buskirk. 1977. Intersexual dominance and differential mortality of Gemsbok Oryx gazella at Namib Desert waterholes. Madoqua 10:5-19.",
Millington 2020 ABC,Popular Press,N/A,"Millington, B. 2020. Wombat water hole proving popular in drought-ravaged Hunter Valley. ABC. ABC, Australia.",
Haynes 2012 Geomorphology,Peer-reviewed,Secondary,"Haynes, G. 2012. Elephants (and extinct relatives) as earth-movers and ecosystem engineers. Geomorphology 157-158:99-107.",
Payne 1999 Silent Thunder,Book,Primary,"Payne, K. 1999. Silent Thunder: In the Presence of Elephants. Penguin, New York.",